,distance,mean,nature,kind,low_ci,high_ci
0,0,0.006597386917830633,total,KmerZFs_11_0,0.006079144562526727,0.0070525562801853165
1,500,0.005687083538716233,total,KmerZFs_11_0,0.005349553187106351,0.006011152576805634
2,1000,0.005359590071776002,total,KmerZFs_11_0,0.004995002341323336,0.0057442936072519225
3,1500,0.0050493952924456345,total,KmerZFs_11_0,0.0047527261091244895,0.00538203035235756
4,2000,0.004980645649426203,total,KmerZFs_11_0,0.004654468366334801,0.005284873233267727
5,2500,0.004831286130959722,total,KmerZFs_11_0,0.004522326236516432,0.005136526072696056
6,3000,0.0047584228782382295,total,KmerZFs_11_0,0.004482252849547275,0.0050423184329889
7,3500,0.004786495091166552,total,KmerZFs_11_0,0.004488423297921087,0.005111207059608444
8,4000,0.0048369130906873725,total,KmerZFs_11_0,0.0045256048035898526,0.005178836161679515
9,4500,0.0046832303019373606,total,KmerZFs_11_0,0.004393569530774608,0.004979479475396586
10,5000,0.004721009661382175,total,KmerZFs_11_0,0.004419568605015884,0.0050344015073377525
11,5500,0.004670233413313724,total,KmerZFs_11_0,0.0043838839298248585,0.004965282809481162
12,6000,0.004688679256391392,total,KmerZFs_11_0,0.004368371405021026,0.0049549638659857126
13,6500,0.004819097207813897,total,KmerZFs_11_0,0.004488203120931777,0.00514761725135925
14,7000,0.004763478978911091,total,KmerZFs_11_0,0.004465810854121782,0.005082117639282628
15,7500,0.004550060634396055,total,KmerZFs_11_0,0.004271790646230454,0.004849904701320036
16,8000,0.004623104937740043,total,KmerZFs_11_0,0.004340371283183418,0.004943366332152326
17,8500,0.004663814614219675,total,KmerZFs_11_0,0.004409017173865565,0.004969330874082645
18,9000,0.004642707530457763,total,KmerZFs_11_0,0.004370245731365139,0.0049478346786905455
19,9500,0.0045864579600914165,total,KmerZFs_11_0,0.0043445440219189325,0.004838352746386818
0,0,0.005633828736650588,total,KmerZFs_12_0,0.005272294000538416,0.006066914888770923
1,500,0.005678413866907649,total,KmerZFs_12_0,0.005349685107348453,0.006079468954832882
2,1000,0.005580828144664314,total,KmerZFs_12_0,0.005238797615896762,0.0059804662530726135
3,1500,0.005528193959484454,total,KmerZFs_12_0,0.005165684904876037,0.00593546590858264
4,2000,0.005485141103832557,total,KmerZFs_12_0,0.0051267946223472385,0.005907875157048789
5,2500,0.005449685738884916,total,KmerZFs_12_0,0.005093555389256464,0.005900928247447588
6,3000,0.00540785163736962,total,KmerZFs_12_0,0.0050359493738723685,0.005876355740991979
7,3500,0.005427955543178995,total,KmerZFs_12_0,0.005045812043040881,0.005872594685271138
