,distance,mean,nature,kind,low_ci,high_ci
0,0,0.006712798711668217,total,KmerZFs_11_0,0.006217770091247792,0.007283134891077456
1,250,0.00644846797992556,total,KmerZFs_11_0,0.006051935415860594,0.006939110555746076
2,500,0.005774859527724739,total,KmerZFs_11_0,0.005393385002778238,0.006113648981068338
3,750,0.005598513111829124,total,KmerZFs_11_0,0.005243570590884301,0.005987670758856667
4,1000,0.005488745555017984,total,KmerZFs_11_0,0.005102191332001705,0.00591929014972411
5,1250,0.005229311407771823,total,KmerZFs_11_0,0.004905242027629264,0.005551915551814192
6,1500,0.005096612269943009,total,KmerZFs_11_0,0.004802644729648237,0.005397102582848917
7,1750,0.005001724802455087,total,KmerZFs_11_0,0.004701060236908349,0.005343299597503499
8,2000,0.004989913057812775,total,KmerZFs_11_0,0.004693356523521739,0.005316603512714884
9,2250,0.004971275811789042,total,KmerZFs_11_0,0.004666106060378141,0.005311041096907262
10,2500,0.004910405946655616,total,KmerZFs_11_0,0.004589577046821899,0.00523535639860198
11,2750,0.004751242024355824,total,KmerZFs_11_0,0.004485176869519879,0.005047411932145678
12,3000,0.004806913782033098,total,KmerZFs_11_0,0.0045180387509730895,0.005120712653487052
13,3250,0.004709451940997078,total,KmerZFs_11_0,0.004462775207632637,0.004968847210448639
14,3500,0.004787836552029405,total,KmerZFs_11_0,0.004491517177291602,0.005070072865434376
15,3750,0.00478514008420475,total,KmerZFs_11_0,0.004499552297703879,0.005080755565546887
16,4000,0.004866038108527243,total,KmerZFs_11_0,0.004576402879303576,0.005196086460113107
17,4250,0.004807515974836239,total,KmerZFs_11_0,0.004565457921545548,0.005103297545466201
18,4500,0.004713180135571755,total,KmerZFs_11_0,0.004466170783328367,0.004972071315946053
19,4750,0.00465295147949618,total,KmerZFs_11_0,0.0044305757914853885,0.004911793916963798
20,5000,0.004728430959811288,total,KmerZFs_11_0,0.004449204842035125,0.005015793655191466
21,5250,0.004713519057011796,total,KmerZFs_11_0,0.004461347832639088,0.005009954328823418
22,5500,0.004718266100479428,total,KmerZFs_11_0,0.004456434065742783,0.005020856100058062
23,5750,0.004621785146364948,total,KmerZFs_11_0,0.004375344526728845,0.004902491360555211
24,6000,0.0046387599108009495,total,KmerZFs_11_0,0.004346273125102557,0.004942137506484527
25,6250,0.004739068397803321,total,KmerZFs_11_0,0.004425340623449423,0.005051507377856534
26,6500,0.004867188191832793,total,KmerZFs_11_0,0.004505394258040754,0.005212872678540896
27,6750,0.004770491179523183,total,KmerZFs_11_0,0.004420519062310929,0.005093936653295645
28,7000,0.004793987777040998,total,KmerZFs_11_0,0.004454663000170389,0.005127563786412988
29,7250,0.004732712811753028,total,KmerZFs_11_0,0.004389421198580689,0.005085444296413827
30,7500,0.0046129758116348115,total,KmerZFs_11_0,0.004306436512458983,0.0049305272383145995
31,7750,0.004486646720615666,total,KmerZFs_11_0,0.004240357746742381,0.004752568294808202
32,8000,0.004595414979817498,total,KmerZFs_11_0,0.004316988089687236,0.0048989851276767735
33,8250,0.004651077127607267,total,KmerZFs_11_0,0.004349223687912722,0.0049774326836101055
34,8500,0.004713079064705619,total,KmerZFs_11_0,0.00442491504310593,0.005017526738778705
35,8750,0.0046140640962839775,total,KmerZFs_11_0,0.004351733162867685,0.0048880004264382085
36,9000,0.004680202686458601,total,KmerZFs_11_0,0.004397667351378428,0.004989419635060088
37,9250,0.0046048511082462055,total,KmerZFs_11_0,0.004338922393893254,0.004894200144380418
38,9500,0.004599397665326912,total,KmerZFs_11_0,0.004307477848800227,0.004891040757166404
39,9750,0.004573387276479261,total,KmerZFs_11_0,0.004270160799952277,0.004849688823335227
0,0,0.005625739464878062,total,KmerZFs_12_0,0.005268693791010545,0.006078930973357433
1,250,0.005644216438820202,total,KmerZFs_12_0,0.005287985796404478,0.00605139694635439
2,500,0.005657038153564578,total,KmerZFs_12_0,0.005271804704007099,0.0060729441732353465
3,750,0.005700109413950953,total,KmerZFs_12_0,0.005280002405106203,0.0062134948073998995
4,1000,0.005584736067385624,total,KmerZFs_12_0,0.005206987345701667,0.005989098969823074
5,1250,0.005576860104520322,total,KmerZFs_12_0,0.005205058334584149,0.0059848811326366595
6,1500,0.00550990102990101,total,KmerZFs_12_0,0.00514106704512779,0.005967589861604607
7,1750,0.00554678731784031,total,KmerZFs_12_0,0.005132518156003737,0.0059854799127067974
8,2000,0.005426020633388034,total,KmerZFs_12_0,0.005046824050969431,0.005893692759466683
9,2250,0.005545238651900086,total,KmerZFs_12_0,0.005160631468870546,0.005999106548042876
10,2500,0.005453224027856746,total,KmerZFs_12_0,0.005083259800653087,0.00595586201509711
11,2750,0.005446087852538111,total,KmerZFs_12_0,0.005095834364888751,0.005912014199878504
12,3000,0.005391703332529071,total,KmerZFs_12_0,0.005003953607092742,0.005922549772134144
13,3250,0.005424256556219454,total,KmerZFs_12_0,0.005041740754042766,0.00593463438775214
14,3500,0.005436588333886397,total,KmerZFs_12_0,0.005081922586738368,0.005922803267972809
15,3750,0.005419192550333313,total,KmerZFs_12_0,0.005059383827142051,0.005914272405881663
16,4000,0.005434640185951155,total,KmerZFs_12_0,0.005060822936450052,0.00592237013631729
17,4250,0.005420588619817376,total,KmerZFs_12_0,0.005072023073515112,0.005932543783476839
18,4500,0.005382804634997012,total,KmerZFs_12_0,0.00499918383147088,0.005883656839208173
19,4750,0.005383587728014748,total,KmerZFs_12_0,0.005020003630852398,0.005844587329714834
20,5000,0.005423285861302914,total,KmerZFs_12_0,0.0050621135047199724,0.0059116774370740885
21,5250,0.005248109391834492,total,KmerZFs_12_0,0.0049120925309129974,0.005663903095250985
22,5500,0.005262265763931753,total,KmerZFs_12_0,0.0048980291558570295,0.005690056416430408
23,5750,0.0052423527441409,total,KmerZFs_12_0,0.004943410557156987,0.0056203741783358956
24,6000,0.005345893356978569,total,KmerZFs_12_0,0.005005631249180442,0.005712316890197173
25,6250,0.0053215737787511,total,KmerZFs_12_0,0.004966060504247998,0.005710915469979278
26,6500,0.005409773907209051,total,KmerZFs_12_0,0.005062085911767957,0.005886656969112783
27,6750,0.005392657833275154,total,KmerZFs_12_0,0.005065504174636799,0.005808825820987556
28,7000,0.0054695838289267945,total,KmerZFs_12_0,0.005149064829903987,0.005911940754121922
29,7250,0.005308579978195123,total,KmerZFs_12_0,0.0049322192433651855,0.00572723092718608
30,7500,0.005339158463600122,total,KmerZFs_12_0,0.005048922026614507,0.005715266000196446
31,7750,0.005405605966352802,total,KmerZFs_12_0,0.005105278409377188,0.005859966922201106
32,8000,0.005318791859984073,total,KmerZFs_12_0,0.005048423924896936,0.0056809819630274285
33,8250,0.0052251624969324615,total,KmerZFs_12_0,0.004926651306488,0.005594465947800414
34,8500,0.005241192184490311,total,KmerZFs_12_0,0.004979839531237469,0.0056009690084319495
35,8750,0.005192744372772146,total,KmerZFs_12_0,0.004908094865699438,0.005542112207888065
36,9000,0.005197624767693145,total,KmerZFs_12_0,0.0049135034647111225,0.00555545984010067
37,9250,0.005160047993232117,total,KmerZFs_12_0,0.004876593643251392,0.005495514048080045
38,9500,0.005198245018211348,total,KmerZFs_12_0,0.004881522457774702,0.005530862014464057
39,9750,0.005079702866361917,total,KmerZFs_12_0,0.004760340294468102,0.005402025866982444
0,0,0.00631411282025862,total,KmerZFs_5_0,0.00566989480384778,0.007102094876700903
1,250,0.005586700510972679,total,KmerZFs_5_0,0.005140067480988999,0.00606601177703594
2,500,0.005422108652173433,total,KmerZFs_5_0,0.005041066425080217,0.005880901732505732
3,750,0.005229827301822087,total,KmerZFs_5_0,0.004855727038462896,0.005678203374112845
4,1000,0.0051474825403356374,total,KmerZFs_5_0,0.00479602120714885,0.005653897132226114
5,1250,0.0050972033683023285,total,KmerZFs_5_0,0.004734254707262663,0.005671641395904026
6,1500,0.005061793865300493,total,KmerZFs_5_0,0.004691087353617583,0.005571853063943188
7,1750,0.004836392204731841,total,KmerZFs_5_0,0.004479751165583142,0.005262909980202044
8,2000,0.004847704931790257,total,KmerZFs_5_0,0.004429762725438899,0.0053332917940616745
9,2250,0.0048414892939368116,total,KmerZFs_5_0,0.004472361244832542,0.005313925447234145
10,2500,0.005032383819742258,total,KmerZFs_5_0,0.004614401510422445,0.005547179948083276
11,2750,0.004914228709507106,total,KmerZFs_5_0,0.004473223676635678,0.005429149520686985
12,3000,0.004888132552149615,total,KmerZFs_5_0,0.004465878313003412,0.005379693390753894
13,3250,0.00471564066198952,total,KmerZFs_5_0,0.004362951032393934,0.005120768883926265
14,3500,0.004800210433540301,total,KmerZFs_5_0,0.004452246850612543,0.005225700531448282
15,3750,0.004737272426592629,total,KmerZFs_5_0,0.004377315050015175,0.005139045433482405
16,4000,0.0049088390429326036,total,KmerZFs_5_0,0.004495673354807931,0.005373436541377447
17,4250,0.004783222879164,total,KmerZFs_5_0,0.0044411176925495946,0.005268788616373742
18,4500,0.00486508552062478,total,KmerZFs_5_0,0.0045048705259696405,0.00530370616376474
19,4750,0.004722820008365187,total,KmerZFs_5_0,0.004388455078057554,0.005120032687771693
20,5000,0.004710460635410695,total,KmerZFs_5_0,0.004418961315346235,0.005084800914415631
21,5250,0.004648879018974903,total,KmerZFs_5_0,0.0043577587912107295,0.004968881868135214
22,5500,0.004607688040022395,total,KmerZFs_5_0,0.004305333463617924,0.004917809447656969
23,5750,0.004592820496040203,total,KmerZFs_5_0,0.0043257208735301275,0.004918612174592801
24,6000,0.004678433649904493,total,KmerZFs_5_0,0.004351949422588334,0.004982860020188995
25,6250,0.004581226916117757,total,KmerZFs_5_0,0.004283434851676817,0.004883240159305439
26,6500,0.004633761356605263,total,KmerZFs_5_0,0.004326827005464516,0.0049285781036380325
27,6750,0.004703649375239919,total,KmerZFs_5_0,0.004366740679110386,0.005033371019764198
28,7000,0.004832051762849844,total,KmerZFs_5_0,0.004480436411721129,0.005227008521705876
29,7250,0.004850721044712154,total,KmerZFs_5_0,0.004462324841731628,0.005253317374743614
30,7500,0.004918165416197817,total,KmerZFs_5_0,0.004529574663779591,0.005292486977505084
31,7750,0.004923243994227513,total,KmerZFs_5_0,0.004527574308880458,0.005310331468106935
32,8000,0.004790856755485089,total,KmerZFs_5_0,0.004399734222934585,0.005189406070934137
33,8250,0.0048487290946273584,total,KmerZFs_5_0,0.004418193322810807,0.005247078775893049
34,8500,0.004860210284680068,total,KmerZFs_5_0,0.0044508707605382045,0.005244256397703175
35,8750,0.005029779715221641,total,KmerZFs_5_0,0.004561056395117007,0.005501740590860527
36,9000,0.0048976039168915925,total,KmerZFs_5_0,0.0045421602373773105,0.0052431812202853026
37,9250,0.004921272767968227,total,KmerZFs_5_0,0.004590621848395604,0.005349517043442568
38,9500,0.004892556679096645,total,KmerZFs_5_0,0.004520467119184463,0.005297947028876259
39,9750,0.004952473109178797,total,KmerZFs_5_0,0.004564335328447346,0.0054055027082489755
0,0,0.005812549622505234,total,KmerZFs_6_0,0.005006162864349807,0.006735226985970536
1,250,0.0050610480330907665,total,KmerZFs_6_0,0.004604923059391448,0.005375370508489425
2,500,0.004989963251691203,total,KmerZFs_6_0,0.0045184144525868795,0.005350252434320576
3,750,0.004853658708150689,total,KmerZFs_6_0,0.00440805848922644,0.005232038003875074
4,1000,0.004729837990850634,total,KmerZFs_6_0,0.004245966181793748,0.005092694722203595
5,1250,0.004664769189677586,total,KmerZFs_6_0,0.004229663300661158,0.0050002909902303605
6,1500,0.004625874166677777,total,KmerZFs_6_0,0.004172112480961379,0.005013549063134088
7,1750,0.004564709571709622,total,KmerZFs_6_0,0.004126405588723265,0.004918856127721017
8,2000,0.004571558030851309,total,KmerZFs_6_0,0.004192610048788033,0.004931286439494298
9,2250,0.004522971633721626,total,KmerZFs_6_0,0.0041725022965812975,0.004850715872315117
10,2500,0.0044742481331181945,total,KmerZFs_6_0,0.00410456145645842,0.004846912977954378
11,2750,0.004371233743976186,total,KmerZFs_6_0,0.00399006552178487,0.004717460154467806
12,3000,0.0044349202781216145,total,KmerZFs_6_0,0.004034287249947003,0.004790620454248695
13,3250,0.004427950924598571,total,KmerZFs_6_0,0.004002169431788632,0.004784764171904291
14,3500,0.004480650082130122,total,KmerZFs_6_0,0.004050840166287766,0.004891498038418298
15,3750,0.00442728018443008,total,KmerZFs_6_0,0.004029683798864236,0.0047778027726645324
