,kind,distance,mean,low_ci,high_ci
0,prdm9_all,0,8.663509953549213e-09,8.168457687542196e-09,9.134179999876504e-09
1,prdm9_all,500,8.015463116578066e-09,7.532655269764669e-09,8.44307890492544e-09
2,prdm9_all,1000,7.590659919404837e-09,7.156721555662141e-09,8.041261260321848e-09
3,prdm9_all,1500,7.21830248662407e-09,6.8553832870226965e-09,7.682980091234807e-09
4,prdm9_all,2000,6.949617163315101e-09,6.6307890092393184e-09,7.2768193896388745e-09
5,prdm9_all,2500,6.653391536995287e-09,6.27057434225233e-09,7.002726518558443e-09
6,prdm9_all,3000,6.400791298814499e-09,6.035684393721433e-09,6.740443230183962e-09
7,prdm9_all,3500,6.212394613232088e-09,5.9326187706653335e-09,6.568163054396742e-09
8,prdm9_all,4000,6.196154689892542e-09,5.836213636009435e-09,6.515256357970823e-09
9,prdm9_all,4500,6.019047797971367e-09,5.719612856579738e-09,6.379367859166255e-09
10,prdm9_all,5000,5.8949628711355265e-09,5.6314983025436475e-09,6.221823903545692e-09
11,prdm9_all,5500,5.6307491287245395e-09,5.3127192328628435e-09,6.026226981263926e-09
12,prdm9_all,6000,5.566249068336439e-09,5.192522070030944e-09,5.8947275864605754e-09
13,prdm9_all,6500,5.3752188701361e-09,4.98951705354721e-09,5.734585716229105e-09
14,prdm9_all,7000,5.163147096098562e-09,4.732653104555268e-09,5.637083907797954e-09
15,prdm9_all,7500,4.984231647405267e-09,4.582120668820029e-09,5.435371124179834e-09
16,prdm9_all,8000,4.770638792822185e-09,4.364293660010785e-09,5.251582487275953e-09
17,prdm9_all,8500,4.537613766596785e-09,4.155470594859575e-09,4.916937540895724e-09
18,prdm9_all,9000,4.5847671031799275e-09,4.103467836589484e-09,5.1626055849160626e-09
19,prdm9_all,9500,4.54249065818584e-09,3.827116826211478e-09,5.333850231030799e-09
20,promoters,0,1.810045973702914e-08,1.291651117864911e-08,2.5674898818126016e-08
21,promoters,500,1.0861259627071822e-08,7.746595585020717e-09,1.3474329548547086e-08
22,promoters,1000,7.670099999999999e-09,5.2437954163863816e-09,1.0071720129105898e-08
23,promoters,1500,6.900388254211334e-09,4.780163252663442e-09,9.19861006244787e-09
24,promoters,2000,6.339000378006874e-09,3.973656006018577e-09,9.84562452000289e-09
25,promoters,2500,5.416984565217392e-09,3.779233607298e-09,7.699646612155635e-09
26,promoters,3000,5.2024825862068965e-09,3.3605201356727693e-09,7.597052038963451e-09
27,promoters,3500,5.206067779922779e-09,3.426682811325659e-09,7.90493877661353e-09
28,promoters,4000,4.6266111895910784e-09,2.9198006928687663e-09,7.064512294942392e-09
29,promoters,4500,5.123560905660377e-09,3.284721582980343e-09,7.928202423350917e-09
30,promoters,5000,4.1522415655577286e-09,2.972530237669885e-09,5.286112658662954e-09
31,promoters,5500,4.518930649895178e-09,3.2546324638418074e-09,6.14497137069247e-09
32,promoters,6000,4.658886703539823e-09,3.0504367815161466e-09,6.436578817673663e-09
33,promoters,6500,4.768298228699552e-09,3.280089493839169e-09,6.403229279216301e-09
34,promoters,7000,4.018956057007126e-09,2.7679446825198118e-09,5.39041272650286e-09
35,promoters,7500,3.803442439024391e-09,2.4858466953386936e-09,5.364096008413835e-09
36,promoters,8000,4.143776086956522e-09,2.6359694535641804e-09,6.023785028242925e-09
37,promoters,8500,4.3499343947368415e-09,2.842952119847839e-09,6.206885542391457e-09
38,promoters,9000,4.892549589442815e-09,2.979190512260217e-09,7.144041125013312e-09
39,promoters,9500,4.834184863221884e-09,2.920397199614525e-09,7.2231955279780564e-09
