scaf	nature
Super_scaffold_100	macro
Super_scaffold_106	macro
Super_scaffold_108	macro
Super_scaffold_110	macro
Super_scaffold_115	macro
Super_scaffold_129	macro
Super_scaffold_133	macro
Super_scaffold_135	macro
Super_scaffold_141	macro
Super_scaffold_147	macro
Super_scaffold_149	macro
Super_scaffold_155	macro
Super_scaffold_163	macro
Super_scaffold_167	macro
Super_scaffold_171	macro
Super_scaffold_173	macro
Super_scaffold_177	macro
Super_scaffold_178	macro
Super_scaffold_18	macro
Super_scaffold_184	macro
Super_scaffold_187	macro
Super_scaffold_188	macro
Super_scaffold_19	macro
Super_scaffold_190	macro
Super_scaffold_193	macro
Super_scaffold_195	macro
Super_scaffold_2	macro
Super_scaffold_20	macro
Super_scaffold_208	macro
Super_scaffold_213	macro
Super_scaffold_214	macro
Super_scaffold_216	macro
Super_scaffold_220	macro
Super_scaffold_226	macro
Super_scaffold_229	macro
Super_scaffold_230	macro
Super_scaffold_231	macro
Super_scaffold_233	macro
Super_scaffold_235	macro
Super_scaffold_244	macro
Super_scaffold_247	macro
Super_scaffold_249	macro
Super_scaffold_251	macro
Super_scaffold_252	macro
Super_scaffold_285	macro
Super_scaffold_287	macro
Super_scaffold_289	macro
Super_scaffold_29	macro
Super_scaffold_290	macro
Super_scaffold_298	macro
Super_scaffold_299	macro
Super_scaffold_3	macro
Super_scaffold_300	macro
Super_scaffold_301	macro
Super_scaffold_302	macro
Super_scaffold_304	macro
Super_scaffold_312	macro
Super_scaffold_314	macro
Super_scaffold_323	macro
Super_scaffold_328	macro
Super_scaffold_329	macro
Super_scaffold_337	macro
Super_scaffold_339	macro
Super_scaffold_343	macro
Super_scaffold_344	macro
Super_scaffold_345	macro
Super_scaffold_347	macro
Super_scaffold_349	macro
Super_scaffold_350	macro
Super_scaffold_351	macro
Super_scaffold_352	macro
Super_scaffold_354	macro
Super_scaffold_355	macro
Super_scaffold_356	macro
Super_scaffold_357	macro
Super_scaffold_358	macro
Super_scaffold_359	macro
Super_scaffold_36	macro
Super_scaffold_361	macro
Super_scaffold_364	macro
Super_scaffold_365	macro
Super_scaffold_367	macro
Super_scaffold_369	macro
Super_scaffold_371	macro
Super_scaffold_372	macro
Super_scaffold_375	macro
Super_scaffold_376	macro
Super_scaffold_377	macro
Super_scaffold_379	macro
Super_scaffold_380	macro
Super_scaffold_385	macro
Super_scaffold_386	macro
Super_scaffold_388	macro
Super_scaffold_389	macro
Super_scaffold_391	macro
Super_scaffold_392	macro
Super_scaffold_398	macro
Super_scaffold_4	macro
Super_scaffold_400	macro
Super_scaffold_401	macro
Super_scaffold_403	macro
Super_scaffold_408	macro
Super_scaffold_409	macro
Super_scaffold_41	macro
Super_scaffold_410	macro
Super_scaffold_412	macro
Super_scaffold_414	macro
Super_scaffold_416	macro
Super_scaffold_419	macro
Super_scaffold_424	macro
Super_scaffold_425	macro
Super_scaffold_426	macro
Super_scaffold_427	macro
Super_scaffold_428	macro
Super_scaffold_429	macro
Super_scaffold_430	macro
Super_scaffold_436	macro
Super_scaffold_437	macro
Super_scaffold_438	macro
Super_scaffold_440	macro
Super_scaffold_442	macro
Super_scaffold_445	macro
Super_scaffold_451	macro
Super_scaffold_452	macro
Super_scaffold_460	macro
Super_scaffold_462	macro
Super_scaffold_463	macro
Super_scaffold_464	macro
Super_scaffold_51	macro
Super_scaffold_6	macro
Super_scaffold_60	macro
Super_scaffold_61	macro
Super_scaffold_63	macro
Super_scaffold_69	macro
Super_scaffold_72	macro
Super_scaffold_73	macro
Super_scaffold_74	macro
Super_scaffold_78	macro
Super_scaffold_84	macro
Super_scaffold_91	macro
Super_scaffold_93	macro
Super_scaffold_96	macro
Super_scaffold_1	macro
Super_scaffold_130	micro
Super_scaffold_131	micro
Super_scaffold_142	micro
Super_scaffold_157	micro
Super_scaffold_166	micro
Super_scaffold_176	micro
Super_scaffold_183	micro
Super_scaffold_221	micro
Super_scaffold_241	micro
Super_scaffold_256	micro
Super_scaffold_265	micro
Super_scaffold_27	micro
Super_scaffold_271	micro
Super_scaffold_303	micro
Super_scaffold_309	micro
Super_scaffold_317	micro
Super_scaffold_353	micro
Super_scaffold_360	micro
Super_scaffold_362	micro
Super_scaffold_363	micro
Super_scaffold_368	micro
Super_scaffold_370	micro
Super_scaffold_373	micro
Super_scaffold_374	micro
Super_scaffold_378	micro
Super_scaffold_381	micro
Super_scaffold_383	micro
Super_scaffold_384	micro
Super_scaffold_390	micro
Super_scaffold_393	micro
Super_scaffold_394	micro
Super_scaffold_395	micro
Super_scaffold_396	micro
Super_scaffold_397	micro
Super_scaffold_399	micro
Super_scaffold_402	micro
Super_scaffold_404	micro
Super_scaffold_405	micro
Super_scaffold_406	micro
Super_scaffold_411	micro
Super_scaffold_413	micro
Super_scaffold_415	micro
Super_scaffold_418	micro
Super_scaffold_420	micro
Super_scaffold_421	micro
Super_scaffold_422	micro
Super_scaffold_423	micro
Super_scaffold_431	micro
Super_scaffold_447	micro
Super_scaffold_449	micro
Super_scaffold_45	micro
Super_scaffold_50	micro
Super_scaffold_66	micro
Super_scaffold_75	micro
